protein_group	protein_names	genes	description	molecular_weight_kda	sequence_length
Q8WWA0	ITLN1_HUMAN	ITLN1	Intelectin-1 OS=Homo sapiens OX=9606 GN=ITLN1 PE=1 SV=1	34.9617	313.0
P21333	FLNA_HUMAN	FLNA	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	280.739	2647.0
Q9H1B5	XYLT2_HUMAN	XYLT2	Xylosyltransferase 2 OS=Homo sapiens OX=9606 GN=XYLT2 PE=1 SV=2	96.7671	865.0
P27105	STOM_HUMAN	STOM	Stomatin OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3	31.7308	288.0
O95810	CAVN2_HUMAN	CAVIN2	Caveolae-associated protein 2 OS=Homo sapiens OX=9606 GN=CAVIN2 PE=1 SV=3	47.1732	425.0
O95866	G6B_HUMAN	MPIG6B	Megakaryocyte and platelet inhibitory receptor G6b OS=Homo sapiens OX=9606 GN=MPIG6B PE=1 SV=1	26.1634	241.0
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2 OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=2	24.0338	209.0
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1	59.7506	553.0
P55290	CAD13_HUMAN	CDH13	Cadherin-13 OS=Homo sapiens OX=9606 GN=CDH13 PE=1 SV=1	78.2869	713.0
P55854	SUMO3_HUMAN	SUMO3	Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2	11.637	103.0
P23528	COF1_HUMAN	CFL1	Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3	18.5025	166.0
P01137	TGFB1_HUMAN	TGFB1	Transforming growth factor beta-1 proprotein OS=Homo sapiens OX=9606 GN=TGFB1 PE=1 SV=3	44.3251	390.0
Q96PD5	PGRP2_HUMAN	PGLYRP2	N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1	62.217	576.0
P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4	26.6695	249.0
P60842	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1	46.1539	406.0
Q92896	GSLG1_HUMAN	GLG1	Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2	134.5518	1179.0
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	37.4297	353.0
P61604	CH10_HUMAN	HSPE1	10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2	10.9317	102.0
P61978	HNRPK_HUMAN	HNRNPK	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1	50.9763	463.0
P05067	A4_HUMAN	APP	Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=3	86.9433	770.0
Q9HBI1	PARVB_HUMAN	PARVB	Beta-parvin OS=Homo sapiens OX=9606 GN=PARVB PE=1 SV=1	41.7143	364.0
P09486	SPRC_HUMAN	SPARC	SPARC OS=Homo sapiens OX=9606 GN=SPARC PE=1 SV=1	34.6322	303.0
P08567	PLEK_HUMAN	PLEK	Pleckstrin OS=Homo sapiens OX=9606 GN=PLEK PE=1 SV=3	40.1249	350.0
P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4	59.2568	515.0
Q14112	NID2_HUMAN	NID2	Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3	151.2538	1375.0
P08758	ANXA5_HUMAN	ANXA5	Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	35.9368	320.0
P08865	RSSA_HUMAN	RPSA	Small ribosomal subunit protein uS2 OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4	32.8541	295.0
Q14012	KCC1A_HUMAN	CAMK1	Calcium/calmodulin-dependent protein kinase type 1 OS=Homo sapiens OX=9606 GN=CAMK1 PE=1 SV=1	41.3371	370.0
P09211	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2	23.3558	210.0
P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3	24.8938	215.0
Q13555	KCC2G_HUMAN	CAMK2G	Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=4	62.6072	558.0
Q71U36	TBA1A_HUMAN	TUBA1A	Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1	50.1356	451.0
P09651	ROA1_HUMAN	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	38.7467	372.0
P10721	KIT_HUMAN	KIT	Mast/stem cell growth factor receptor Kit OS=Homo sapiens OX=9606 GN=KIT PE=1 SV=1	109.8646	976.0
Q13477	MADCA_HUMAN	MADCAM1	Mucosal addressin cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=MADCAM1 PE=1 SV=2	40.1553	382.0
Q13418	ILK_HUMAN	ILK	Scaffold protein ILK OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2	51.4192	452.0
P0CG47	UBB_HUMAN	UBB	Polyubiquitin-B OS=Homo sapiens OX=9606 GN=UBB PE=1 SV=1	25.7616	229.0
Q12841	FSTL1_HUMAN	FSTL1	Follistatin-related protein 1 OS=Homo sapiens OX=9606 GN=FSTL1 PE=1 SV=1	34.9855	308.0
Q13201	MMRN1_HUMAN	MMRN1	Multimerin-1 OS=Homo sapiens OX=9606 GN=MMRN1 PE=1 SV=3	138.1102	1228.0
Q13103	SPP24_HUMAN	SPP2	Secreted phosphoprotein 24 OS=Homo sapiens OX=9606 GN=SPP2 PE=1 SV=1	24.3377	211.0
Q13093	PAFA_HUMAN	PLA2G7	Platelet-activating factor acetylhydrolase OS=Homo sapiens OX=9606 GN=PLA2G7 PE=1 SV=1	50.0774	441.0
P08514	ITA2B_HUMAN	ITGA2B	Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3	113.3769	1039.0
P11678	PERE_HUMAN	EPX	Eosinophil peroxidase OS=Homo sapiens OX=9606 GN=EPX PE=1 SV=2	81.0405	715.0
Q14623	IHH_HUMAN	IHH	Indian hedgehog protein OS=Homo sapiens OX=9606 GN=IHH PE=1 SV=4	45.2507	411.0
Q14766	LTBP1_HUMAN	LTBP1	Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4	186.7961	1721.0
P05141	ADT2_HUMAN	SLC25A5	ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7	32.8522	298.0
P05154	IPSP_HUMAN	SERPINA5	Plasma serine protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA5 PE=1 SV=3	45.6747	406.0
Q6UXB8	PI16_HUMAN	PI16	Peptidase inhibitor 16 OS=Homo sapiens OX=9606 GN=PI16 PE=1 SV=1	49.4711	463.0
P05452	TETN_HUMAN	CLEC3B	Tetranectin OS=Homo sapiens OX=9606 GN=CLEC3B PE=1 SV=3	22.5368	202.0
P06276	CHLE_HUMAN	BCHE	Cholinesterase OS=Homo sapiens OX=9606 GN=BCHE PE=1 SV=1	68.4181	602.0
P06748	NPM_HUMAN	NPM1	Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	32.575	294.0
P14151	LYAM1_HUMAN	SELL	L-selectin OS=Homo sapiens OX=9606 GN=SELL PE=1 SV=2	42.1871	372.0
P13929	ENOB_HUMAN	ENO3	Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5	46.9869	434.0
Q04756	HGFA_HUMAN	HGFAC	Hepatocyte growth factor activator OS=Homo sapiens OX=9606 GN=HGFAC PE=1 SV=1	70.6818	655.0
P07437	TBB5_HUMAN	TUBB	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	49.6708	444.0
Q06481	APLP2_HUMAN	APLP2	Amyloid beta precursor like protein 2 OS=Homo sapiens OX=9606 GN=APLP2 PE=1 SV=2	86.9558	763.0
P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	103.0576	892.0
P12724	ECP_HUMAN	RNASE3	Eosinophil cationic protein OS=Homo sapiens OX=9606 GN=RNASE3 PE=1 SV=2	18.3853	160.0
P12429	ANXA3_HUMAN	ANXA3	Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3	36.3753	323.0
P07910	HNRPC_HUMAN	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4	33.67	306.0
P07996	TSP1_HUMAN	THBS1	Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2	129.3827	1170.0
Q9H4B7	TBB1_HUMAN	TUBB1	Tubulin beta-1 chain OS=Homo sapiens OX=9606 GN=TUBB1 PE=1 SV=1	50.3269	451.0
P10124	SRGN_HUMAN	SRGN	Serglycin OS=Homo sapiens OX=9606 GN=SRGN PE=1 SV=3	17.6518	158.0
O14960	LECT2_HUMAN	LECT2	Leukocyte cell-derived chemotaxin-2 OS=Homo sapiens OX=9606 GN=LECT2 PE=1 SV=2	16.39	151.0
Q9Y274	SIA10_HUMAN	ST3GAL6	Type 2 lactosamine alpha-2,3-sialyltransferase OS=Homo sapiens OX=9606 GN=ST3GAL6 PE=1 SV=1	38.2136	331.0
P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1	23.4898	207.0
Q9ULI3	HEG1_HUMAN	HEG1	Protein HEG homolog 1 OS=Homo sapiens OX=9606 GN=HEG1 PE=1 SV=3	147.4606	1381.0
O43866	CD5L_HUMAN	CD5L	CD5 antigen-like OS=Homo sapiens OX=9606 GN=CD5L PE=1 SV=1	38.0878	347.0
P35625	TIMP3_HUMAN	TIMP3	Metalloproteinase inhibitor 3 OS=Homo sapiens OX=9606 GN=TIMP3 PE=1 SV=2	24.145	211.0
P31431	SDC4_HUMAN	SDC4	Syndecan-4 OS=Homo sapiens OX=9606 GN=SDC4 PE=1 SV=2	21.6416	198.0
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4	26.9227	241.0
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2	49.1295	427.0
P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=3	49.8749	455.0
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	104.854	911.0
P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3	32.9228	286.0
O43852	CALU_HUMAN	CALU	Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2	37.1068	315.0
Q9Y251	HPSE_HUMAN	HPSE	Heparanase OS=Homo sapiens OX=9606 GN=HPSE PE=1 SV=2	61.1488	543.0
O60240	PLIN1_HUMAN	PLIN1	Perilipin-1 OS=Homo sapiens OX=9606 GN=PLIN1 PE=1 SV=2	55.9904	522.0
Q9HCN6	GPVI_HUMAN	GP6	Platelet glycoprotein VI OS=Homo sapiens OX=9606 GN=GP6 PE=1 SV=4	36.866	339.0
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3	40.9498	372.0
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX3 PE=1 SV=3	27.6927	256.0
P46781	RS9_HUMAN	RPS9	Small ribosomal subunit protein uS4 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3	22.5914	194.0
P43652	AFAM_HUMAN	AFM	Afamin OS=Homo sapiens OX=9606 GN=AFM PE=1 SV=1	69.0691	599.0
P40197	GPV_HUMAN	GP5	Platelet glycoprotein V OS=Homo sapiens OX=9606 GN=GP5 PE=1 SV=1	60.9592	560.0
Q9Y490	TLN1_HUMAN	TLN1	Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3	269.7671	2541.0
O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4	66.1935	606.0
Q9Y3I1	FBX7_HUMAN	FBXO7	F-box only protein 7 OS=Homo sapiens OX=9606 GN=FBXO7 PE=1 SV=1	58.5028	522.0
P05062	ALDOB_HUMAN	ALDOB	Fructose-bisphosphate aldolase B OS=Homo sapiens OX=9606 GN=ALDOB PE=1 SV=2	39.473	364.0
A2NJV5	KV229_HUMAN	IGKV2-29	Immunoglobulin kappa variable 2-29 OS=Homo sapiens OX=9606 GN=IGKV2-29 PE=1 SV=2	13.0851	120.0
A1L4H1	SRCRL_HUMAN	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens OX=9606 GN=SSC5D PE=1 SV=3	165.7427	1573.0
P78539	SRPX_HUMAN	SRPX	Sushi repeat-containing protein SRPX OS=Homo sapiens OX=9606 GN=SRPX PE=1 SV=1	51.5719	464.0
P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2	22.9489	205.0
A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1	Immunoglobulin heavy variable 7-4-1 OS=Homo sapiens OX=9606 GN=IGHV7-4-1 PE=1 SV=1	12.8486	117.0
P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2	26.4894	241.0
Q6UXH0	ANGL8_HUMAN	ANGPTL8	Angiopoietin-like protein 8 OS=Homo sapiens OX=9606 GN=ANGPTL8 PE=1 SV=1	22.1054	198.0
P02741	CRP_HUMAN	CRP	C-reactive protein OS=Homo sapiens OX=9606 GN=CRP PE=1 SV=1	25.0386	224.0
Q8NBP7	PCSK9_HUMAN	PCSK9	Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens OX=9606 GN=PCSK9 PE=1 SV=3	74.2862	692.0
Q7Z5N4	SDK1_HUMAN	SDK1	Protein sidekick-1 OS=Homo sapiens OX=9606 GN=SDK1 PE=1 SV=3	242.1119	2213.0
Q8NBJ4	GOLM1_HUMAN	GOLM1	Golgi membrane protein 1 OS=Homo sapiens OX=9606 GN=GOLM1 PE=1 SV=1	45.3332	401.0
P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1	22.8363	201.0
P28065	PSB9_HUMAN	PSMB9	Proteasome subunit beta type-9 OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=2	23.2643	219.0
Q86UD1	OAF_HUMAN	OAF	Out at first protein homolog OS=Homo sapiens OX=9606 GN=OAF PE=1 SV=1	30.6883	273.0
Q86VB7	C163A_HUMAN	CD163	Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens OX=9606 GN=CD163 PE=1 SV=2	125.4506	1156.0
Q86X29	LSR_HUMAN	LSR	Lipolysis-stimulated lipoprotein receptor OS=Homo sapiens OX=9606 GN=LSR PE=1 SV=4	71.4389	649.0
Q86YB7	ECHD2_HUMAN	ECHDC2	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=ECHDC2 PE=1 SV=2	31.1262	292.0
Q9NZ08	ERAP1_HUMAN	ERAP1	Endoplasmic reticulum aminopeptidase 1 OS=Homo sapiens OX=9606 GN=ERAP1 PE=1 SV=3	107.2348	941.0
O00748	EST2_HUMAN	CES2	Cocaine esterase OS=Homo sapiens OX=9606 GN=CES2 PE=1 SV=1	61.8068	559.0
Q8IYS5	OSCAR_HUMAN	OSCAR	Osteoclast-associated immunoglobulin-like receptor OS=Homo sapiens OX=9606 GN=OSCAR PE=1 SV=3	30.481	282.0
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1	27.8869	248.0
P18428	LBP_HUMAN	LBP	Lipopolysaccharide-binding protein OS=Homo sapiens OX=9606 GN=LBP PE=1 SV=3	53.3836	481.0
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3	26.411	241.0
P05186	PPBT_HUMAN	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens OX=9606 GN=ALPL PE=1 SV=4	57.3048	524.0
Q08830	FGL1_HUMAN	FGL1	Fibrinogen-like protein 1 OS=Homo sapiens OX=9606 GN=FGL1 PE=1 SV=3	36.3795	312.0
Q14767	LTBP2_HUMAN	LTBP2	Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens OX=9606 GN=LTBP2 PE=1 SV=3	195.0515	1821.0
P08254	MMP3_HUMAN	MMP3	Stromelysin-1 OS=Homo sapiens OX=9606 GN=MMP3 PE=1 SV=2	53.9773	477.0
P36222	CH3L1_HUMAN	CHI3L1	Chitinase-3-like protein 1 OS=Homo sapiens OX=9606 GN=CHI3L1 PE=1 SV=2	42.6255	383.0
Q14213	IL27B_HUMAN	EBI3	Interleukin-27 subunit beta OS=Homo sapiens OX=9606 GN=EBI3 PE=1 SV=2	25.3964	229.0
A0A0A0MT36	KVD21_HUMAN	IGKV6D-21	Immunoglobulin kappa variable 6D-21 OS=Homo sapiens OX=9606 GN=IGKV6D-21 PE=3 SV=1	12.3399	114.0
P09110	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2	44.292	424.0
P80404	GABT_HUMAN	ABAT	4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3	56.4389	500.0
Q9Y279	VSIG4_HUMAN	VSIG4	V-set and immunoglobulin domain-containing protein 4 OS=Homo sapiens OX=9606 GN=VSIG4 PE=1 SV=1	43.9871	399.0
Q9Y287	ITM2B_HUMAN	ITM2B	Integral membrane protein 2B OS=Homo sapiens OX=9606 GN=ITM2B PE=1 SV=1	30.338	266.0
P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	177.6029	1609.0
P0DJI8	SAA1_HUMAN	SAA1	Serum amyloid A-1 protein OS=Homo sapiens OX=9606 GN=SAA1 PE=1 SV=2	13.5461	122.0
P0DJI9	SAA2_HUMAN	SAA2	Serum amyloid A-2 protein OS=Homo sapiens OX=9606 GN=SAA2 PE=1 SV=1	13.5271	122.0
Q13308	PTK7_HUMAN	PTK7	Inactive tyrosine-protein kinase 7 OS=Homo sapiens OX=9606 GN=PTK7 PE=1 SV=2	118.3916	1070.0
Q9Y6R7	FCGBP_HUMAN	FCGBP	IgGFc-binding protein OS=Homo sapiens OX=9606 GN=FCGBP PE=1 SV=3	572.0167	5405.0
P10451	OSTP_HUMAN	SPP1	Osteopontin OS=Homo sapiens OX=9606 GN=SPP1 PE=1 SV=1	35.4228	314.0
Q06828	FMOD_HUMAN	FMOD	Fibromodulin OS=Homo sapiens OX=9606 GN=FMOD PE=1 SV=2	43.1788	376.0
P07478	TRY2_HUMAN	PRSS2	Trypsin-2 OS=Homo sapiens OX=9606 GN=PRSS2 PE=1 SV=1	26.4878	247.0
P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=B4GALT1 PE=1 SV=5	43.9203	398.0
P98095	FBLN2_HUMAN	FBLN2	Fibulin-2 OS=Homo sapiens OX=9606 GN=FBLN2 PE=1 SV=2	126.5727	1184.0
Q00796	DHSO_HUMAN	SORD	Sorbitol dehydrogenase OS=Homo sapiens OX=9606 GN=SORD PE=1 SV=4	38.3246	357.0
P02679	FIBG_HUMAN	FGG	Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	51.5117	453.0
Q4LDE5	SVEP1_HUMAN	SVEP1	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3	390.17	3571.0
Q01995	TAGL_HUMAN	TAGLN	Transgelin OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=4	22.6109	201.0
Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5	56.9403	508.0
Q02487	DSC2_HUMAN	DSC2	Desmocollin-2 OS=Homo sapiens OX=9606 GN=DSC2 PE=1 SV=1	99.9617	901.0
P35442	TSP2_HUMAN	THBS2	Thrombospondin-2 OS=Homo sapiens OX=9606 GN=THBS2 PE=1 SV=2	129.9912	1172.0
P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2	72.9325	645.0
Q15828	CYTM_HUMAN	CST6	Cystatin-M OS=Homo sapiens OX=9606 GN=CST6 PE=1 SV=1	16.5111	149.0
P13611	CSPG2_HUMAN	VCAN	Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3	372.8201	3396.0
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18 OS=Homo sapiens OX=9606 GN=IGHV1-18 PE=1 SV=1	12.8204	117.0
Q05707	COEA1_HUMAN	COL14A1	Collagen alpha-1(XIV) chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3	193.5155	1796.0
A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3 OS=Homo sapiens OX=9606 GN=IGHV1-3 PE=1 SV=1	13.0077	117.0
P14625	ENPL_HUMAN	HSP90B1	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	92.4689	803.0
P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3	183.5599	1838.0
P02675	FIBB_HUMAN	FGB	Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	55.9282	491.0
Q92743	HTRA1_HUMAN	HTRA1	Serine protease HTRA1 OS=Homo sapiens OX=9606 GN=HTRA1 PE=1 SV=1	51.287	480.0
Q9HD89	RETN_HUMAN	RETN	Resistin OS=Homo sapiens OX=9606 GN=RETN PE=1 SV=1	11.4193	108.0
P00167	CYB5_HUMAN	CYB5A	Cytochrome b5 OS=Homo sapiens OX=9606 GN=CYB5A PE=1 SV=2	15.3301	134.0
P26572	MGAT1_HUMAN	MGAT1	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens OX=9606 GN=MGAT1 PE=1 SV=2	50.8784	445.0
P26022	PTX3_HUMAN	PTX3	Pentraxin-related protein PTX3 OS=Homo sapiens OX=9606 GN=PTX3 PE=1 SV=3	41.9756	381.0
P00367	DHE3_HUMAN	GLUD1	Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2	61.3979	558.0
P24821	TENA_HUMAN	TNC	Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3	240.8534	2201.0
Q9BYE9	CDHR2_HUMAN	CDHR2	Cadherin-related family member 2 OS=Homo sapiens OX=9606 GN=CDHR2 PE=1 SV=2	141.5428	1310.0
