Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con1_GD6_1_50906.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con2_GD7_1_50908.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con3_GD8_1_50910.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con4_GD9_1_50912.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con5_GD10_1_50914.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con6_GD11_1_50916.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con7_GD12_1_50918.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con8_GE1_1_50920.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con9_GE2_1_50922.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con10_GE3_1_50924.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con11_GE4_1_50926.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con12_GE5_1_50928.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con13_GE6_1_50930.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con14_GE7_1_50932.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con15_GE8_1_50934.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP1_GF12_1_50970.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP2_GG1_1_50972.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP3_GG2_1_50974.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP4_GG3_1_50976.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP5_GG4_1_50978.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP6_GG5_1_50980.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP7_GG6_1_50982.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP8_GG7_1_50984.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP9_GG8_1_50986.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP10_GG9_1_50988.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP11_GG10_1_50990.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP12_GG11_1_50992.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP13_GG12_1_50994.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP14_GH1_1_50996.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP15_GH2_1_50998.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP1_GE9_1_50938.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP2_GE10_1_50940.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP3_GE11_1_50942.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP4_GE12_1_50944.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP5_GF1_1_50946.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP6_GF2_1_50948.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP7_GF3_1_50950.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP8_GF4_1_50952.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP9_GF5_1_50954.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP10_GF6_1_50956.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP11_GF7_1_50958.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP12_GF8_1_50960.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP13_GF9_1_50962.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP14_GF10_1_50964.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP15_GF11_1_50966.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix1_GH3_1_50936.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix2_GH3_1_50968.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix3_GH3_1_51000.d
A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9		2863.38	37844.2		39159.9	48371.4	35024.6	48367	46127.1	33203.4	35003.2	38140	69456.5	100082	26908.1	56091.2	40679.9	7232.64	181928	38212.3	41540	17710.3	72429.2	69857.5	19318.7	36499	48876.3	43205.6	66263.6	70395.9	36253.1	84100.4	69300.8	47975.5	12580.5	60553.3	47380.4	66162	28702.4	89236.4	23529	57004.5	71794.7	37380.6	67906.8	69853.9	86887.1	74869.3
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28			49779	31116.6	201533	69108.8	38232	99639.9	58498.8			47432	57085.8	61367.1				61302.5		37134.6	38285.7	211514	36369.8	48603.6	59167.1	47056.2	61820.7	45792.1	68795.3	79235.8		103463	119190	68931.1	60833.4	90452.2		101835	59663.4	105399	31132.2	44523.5	89544.3	57071.5	57993.7	40532.6	65546.2	
A0A075B6Q5	HV364_HUMAN	IGHV3-64	Immunoglobulin heavy variable 3-64	1537.25	3598.77	5644.46	4234.4	5532.72	5914.15	5931.89		7173.88	7277.43	11166.5		6890.25	6912.42	10868.1	20086.9	17873.1	28166.6	4404.34	27653.2	38589.5	11129.9	10011.3	41509.2	4010.57	9496.53	34775.7	17503.1	12065.9	18147.8		4344.26	2841.23		2496.68	50208.1	6410.62	11928.3		36571.5	5416.35	35867.3	15259.7	9354.95	23323.8	11939.4	7856.12	7713.29
A0A075B6R2	HV404_HUMAN	IGHV4-4	Immunoglobulin heavy variable 4-4					60083.5																																											
A0A075B6S2	KVD29_HUMAN	IGKV2D-29	Immunoglobulin kappa variable 2D-29	1.63133e+06	1.67144e+06	1.74995e+06	1.56808e+06	2.856e+06	1.95845e+06	1.36421e+06	4.22365e+06	1.77246e+06	1.67701e+06	1.51429e+06	1.92291e+06	3.14882e+06	1.53512e+06	1.99886e+06	2.14387e+06	2.0046e+06	2.44352e+06	1.89134e+06	1.4844e+06	1.35105e+06	4.50169e+06	5.23368e+06	2.30969e+06	2.08837e+06	4.92153e+06	2.45529e+06	2.30566e+06	1.949e+06	2.53408e+06	2.39165e+06	2.96249e+06	2.03978e+06	1.78392e+06	1.64673e+06	1.94283e+06	1.6483e+06	2.88551e+06	1.78782e+06	4.14354e+06	1.64366e+06	2.00208e+06	3.78631e+06	1.4594e+06	2.63602e+06	3.03269e+06	2.80422e+06	2.95766e+06
A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	475816	427113	954346	442565	944921	1.14892e+06	983606	966142	1.19187e+06	1.09569e+06	1.33141e+06	1.13497e+06	2.22684e+06	1.28856e+06	2.28764e+06	1.22013e+06	911416	1.13194e+06	762425	1.3284e+06	1.16153e+06	1.95421e+06	502100	1.13199e+06	442883	477609	803153	880592	855067	897495	948378	1.15676e+06	958887	886134	626043	1.18256e+06	1.21316e+06	1.24669e+06	1.46228e+06	2.27282e+06	532724	853222	1.28403e+06	571563	1.182e+06	1.23007e+06	1.19854e+06	1.22665e+06
A0A075B6S6	KVD30_HUMAN	IGKV2D-30	Immunoglobulin kappa variable 2D-30	4249.38	6947.19	3790.48	2920.2	2790.56								12533.4			6023.18									106961	4391.81	8390.04		7201.36									3969.01		34983.5		5333.3			11861.1	11891	9887.36	9686.8
A0A075B6S9;P0DSN7	KV137_HUMAN;KVD37_HUMAN	IGKV1-37;IGKV1D-37	Probable non-functional immunoglobulinn kappa variable 1-37	18098.9	17662.1	59372.2	14155.7	12806.6	478657	167953	26293.6	49716.5	14000.1	15199.3	159823	41557.9	16320.1	57388.6	28313.8	22525.3	41427.2	21623.1	11267.6	12288.6	31775.1	27319.9	121277	31976.3	28147.6	43535	20415.1	26590.7	26551.5	14478.8	27808.9	24114.5	33570.3	84023.1	23495.4	13159.6	37352.9	26852.6	27311.8	35194.4	24280.6	42185.9	19613.2	45021.3	51875.9	35210.9	46527.9
A0A087WSX0	LV545_HUMAN	IGLV5-45	Immunoglobulin lambda variable 5-45	66877.9	58041.4	48813.4	51240.9	69684.5	73535.5	50344.1	60603	53056.8	50494.8	60624.6	43218	189668	67506.1	53553.9	18930.3	71685.5	49342.7	41435.1	81627.3	78696.6	92228.9	110014	66646.1	36215.1	114602	168507	63164	173546	200689	81814.8	70586.3	71259	44663.4	29253.3	38844.1	39037.5	81475	82687.4	74211.4	46815.2	140573	58662.2	57764.2	82986.9	100638	102331	100624
A0A087WSY4	HV432_HUMAN	IGHV4-30-2	Immunoglobulin heavy variable 4-30-2			4861.42			4937.62					6613.82			2957.23								10396.5	5360.79		4051.07	6517.93	14021.3		14307.7	22605	6677.26				2187.85				5475.71	9159.36	4809.82		7234.45			8448.13	5612.09	7209.58
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	109289	115055	241446	113656	360993	260693	156971	301376	239410	239054	216424	185392	762680	210839	686389	163821	315440	185458	175513	164904	163336	613629	197676	1.14667e+06	352854	161563	416102	298518	458523	521984	236413	228668	234405	302706	172699	269151	387263	350172	1.44552e+06	486392	270665	202220	360231	431824	491290	421874	379502	395055
A0A087WSZ0	KVD08_HUMAN	IGKV1D-8	Immunoglobulin kappa variable 1D-8						13365.4	2885.66								18636.3	4816.23						3662.2						6987.47	4643.75	2328.96				7506.6						12026.1					3113.37			
A0A087WW87;P01614	KV240_HUMAN;KVD40_HUMAN	IGKV2-40;IGKV2D-40	Immunoglobulin kappa variable 2-40	9959.4	11413.3	5207.6	7562.03	20979.3	44352.8		32685.7	19526.2	25544.1	9067.61	17501.9	69190.6		18168.6	162228	18170.6		29024.7	18322	11699.7	33411.4	23768.9	11686.2	27099.3	26921.2	4599.33	14790.6	7018.71	6604.86	10079.5	11676.2	8656.92	118851	20161.2	96026.9	36376.8	16706.1	22543.7	27476.7	5948.54	4138.02	138835	44600.5	34887.2	49598	58842.8	65901.7
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	2.03883e+06	1.99974e+06	4.40299e+06	2.05908e+06	4.69418e+06	2.62734e+06	2.58899e+06	1.60445e+06	3.916e+06	2.12909e+06	1.14548e+06	1.94269e+06	3.02817e+06	1.98778e+06	2.71484e+06	3.58056e+06	4.10469e+06	2.7073e+06	2.6573e+06	2.83102e+06	2.8732e+06	5.47073e+06	2.32438e+06	5.27675e+06	3.75494e+06	2.0662e+06	4.63246e+06	3.66982e+06	3.90512e+06	3.5406e+06	3.8292e+06	1.07495e+06	1.81096e+06	3.67078e+06	2.64754e+06	870920	956586	4.76865e+06	1.81684e+06	3.74292e+06	2.90183e+06	2.42663e+06	3.93468e+06	1.77742e+06	4.87653e+06	2.29729e+06	3.30252e+06	2.41316e+06
A0A0A0MRZ9	LV552_HUMAN	IGLV5-52	Immunoglobulin lambda variable 5-52	10892.6	8810.3	3683.96	10359.8	15407	16150.7	10133.5	24010.5	9117.01	6748.26	15646.2	7484.28		17128.2	14936.7	11070	11604.2	6320.01	21885.3	3502.92	3825.82	32470.1	16472.3		4965.45	14473.8	19775.9	5819.92	20865.1	24922.8	11256.6	46648.6	50491	9718.47	8622.41	10728.5	17306.4	14469.8	11499.3	19894.3	23188.7	126910		8825.01	10399.2	16383.4	14283.7	14737.9
A0A0A0MS00	LV332_HUMAN	IGLV3-32	Probable non-functional immunoglobulin lambda variable 3-32	14986.5	13940.3		14306.1				1026.59																																								
A0A0A0MS14	HV145_HUMAN	IGHV1-45	Immunoglobulin heavy variable 1-45	4748.05	4536.73	6280.12	3954.77	5383.15	3977.9	3662.08	21361.5	3201.44						11153.3	3531.77	6657.96	5098.17	7030.37		6173.97	3972.05	6657.73	7370.3	3963.43	7039.15	9382.58	6594.96	8179.8	12640.1	6250.27		5507.16	5377.4	3941.34				9164.97		1995.91	10684		6042.66	13041.7	5293.25		5359.83
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	137127	135022	350569	153674	257155	448901	126505	142558	300318	263796	229340	150597	609126	477392	362545	166663	230599	266670	124396	219476	225242	501999	167850	862719	215868	185277	279578	243778	257403	254420	214773	208100	194664	252693	119069	215239	182715	278432	330781	599612	179712	200592	434449	151373	391975	295561	286969	288070
A0A0A0MT36	KVD21_HUMAN	IGKV6D-21	Immunoglobulin kappa variable 6D-21	29658.8	22815.3	11928.5	23544.3	107591	29765.8	45254.5	122747	12601.8	27323.2	58444.2	38415.1	108398	66653.3	45114.3	88254.6	61541.1	51612.3	31087.1	75695.2	83768.6	157067	66489.2	56975.7	111777	65898.4	127736	55236.4	164281	109453	139778	203627	268326	129414	85692.2	57252.3	104247	112291	271441	297333	90986.2	158347	164858	32785.4	77498	119165	87522.7	99361.7
A0A0B4J1U3	LV136_HUMAN	IGLV1-36	Immunoglobulin lambda variable 1-36	43228.1	43301.6	91273.8	42887.8	190276	109244	259949	472858	135880	78725.7	171935	305723	21578.5	104883	238629	55851.6	139687	68317.3	169194	41316.5	38482.1	190556	75153.1	110160	93041	69360.6	179101	110786	221970	242972	74937.1	163906	147265	190811	94547.5	57776.7	183625	145445	90113	186408	95508.8	47539.3	115646	104491	132544	143224	133987	136251
A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	150667	162839	318190	145574	271399	391333	245694	444232	410120	137435	109501	360292	192030	225374	233671	182343	175100	493781	177369	208395	203617	267133	464103	384842	220619	675319	539403	244656	400881	427238	251216	197650	239149	168420	120527	113553	89478.6	207733	244400	694278	219896	335323	364936	211636	405396	264771	248363	227109
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	135276	155161	282702	142473	203311	277025	114770	206944	282193	246779	56318	108801	157948	108641	116029	75403.1	539735	274612	149213	83267.3	74660.3	527702	184501	898798	160374	178509	245888	510973	237305	243353	170026	218103	130024	116765	63440.9	59902.7	81337.8	166554	78410.5	214862	146477	128350	96328.9	135380	275242	201887	297258	294883
A0A0B4J1V1	HV321_HUMAN	IGHV3-21	Immunoglobulin heavy variable 3-21	2461.14		3277.18		3590.25		2636.94		3850.99	40442.6		4208.47	10075.9		14867.5				3327.29			7138.97		4778.85						2550.56	5244.24		5192.49		2492.01	5605.98	3700.99	3973.82	6056.67	14144.3			5305.18			5182.83	3548.59	6594.69
A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	11093.9	34575.7		22159.6	35321.1	10270.8	13329.8	113341	3664.8	64259.2	49035.2	16743.1	93201.4	100807	75822.1	37652.6	18729.4	26852.8	31296.3		6632.91	100439	63040.6	37755.8	8244.24	61068.9		8741.8			14468	29407.4	14359.9	34726.7	12947.5	76077.7	55579.9	32551.7	52308.7	143674	42094.5	27893.4	28316.1	20969.6	33398.7	40633.3	39647	53098.2
A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73	14213.3	18078.7	47557.5	27036.6	78571.1	116138	35512.4	62032.1	58561	42541.3	29810.5	34379.8	74152.2	113855	71915	42813.5	41933.3	87911.6	46745.4	22043.3	18549.9	105004	22846.2	66862.4	154177	14252	40336.2	39714.2	34523.6	37189.8	60142.7	60593.3	41744	44036	36354.3	59356.5	50184.8	53924.1	39847.8	148595	38451.1	65853	84030.6	19966.8	66791.9	60461.2	48890.5	53955.4
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	22134.1	26757.8	88642	28299.5	25387.5	85050.4	24324.2	72873.1	73358.2	44309.8		17505.7		87414.2	35584.6	18285	62698.5	39882.1	17440.4	24520.2	30125.6	76833.1	82737.5	66117.6	11552.5	72584.1	28761.3	62835.2	19479.9		32819.9	42245.9	24411.1	26884.5	77247.5			23799.4		74323.3	23973.8	111651	58415.5	22399.4	58908.5	21097.5	30663.3	26511.5
A0A0B4J1X8	HV343_HUMAN	IGHV3-43	Immunoglobulin heavy variable 3-43	32613.9	31032.2	40365.1	32507.3		27321.6			49979.9		19095.6							61532.3		15651.9										54066.9			43042.3				29269.7			96346.9	38246.9	91561.8						
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	307706	471074	183220	401086	242359	401187	405838	302210	210333		382183	377997	193103	381021	310617	306182	315486	471100	194711	81836.2	88413	1.01236e+06	607255	558871	442220	533881	414233	296126	443909	379250	123679	676970	600437	327862	158458	136681	237519	389485	288672	491309	307811	524206	272100	186474	539664	344264	390524	384448
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	490887	562732	1.45218e+06	676524	815959	1.00145e+06	380264	609698	1.58336e+06	1.05912e+06	387279	371814	817257	681173	769715	757104	618098	644768	576019	504244	454138	857649	549552	1.12918e+06	777686	527022	620206	763847	426197	354091	1.02564e+06	619230	585036	547748	455572	509838	327621	841367	400511	986910	431692	962307	1.68068e+06	577287	1.23624e+06	476719	476914	466831
A0A0B4J2D9;P0DP09	KV113_HUMAN;KVD13_HUMAN	IGKV1-13;IGKV1D-13	Immunoglobulin kappa variable 1D-13	17615.2	15393.7	31185.7	15090.1	16812.9		15491.5	158250		123194	107597	19613.8	289549	767054	66325.1	19255.2	64400	140123	106813	39578.4	36717.5	286917	50074.3	40904.4	115051	40800.2	50582.2	63425.5	20104.3	33479.7	20677.5	27972.4	26623.4	535408	204818	86873.7	20399.5	143574	56835.2	72701.3	21300.6	39399.4	87361.5	44070.5	79990.4	82360.5	82318.7	84318.9
A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	Immunoglobulin heavy variable 1-69D	13712.7	10278.7	27899	8438.84	8405.7			82618	22679.3	46251.5			69673.9		250210	25828.7	33628.2	37795.9	258504	13122.5	14691.7	55950.2	58358.1		23410	57472.5	29246.4	24791.2	30892.9	34469	10388.5			64232.5	24015.6	20314.7	80539.7	37550.9	38596.5	15919		38404.3	98938	32549.4	62859	70817.1	65867.1	70568.6
